,,,,
AREA_ID,AREA_NAME,PARENT_NAME,PARENT_PARENT_Name,AREA_Parent_PP_NAME
1,Philippines,,,Philippines
2,NLZ,Philippines,,NLZ_Philippines
3,SLZ,Philippines,,SLZ_Philippines
4,VIS,Philippines,,VIS_Philippines
5,MIN,Philippines,,MIN_Philippines
6,NCR,Philippines,,NCR_Philippines
7,DITO,Philippines,,DITO_Philippines
71,International Region,DITO,Philippines,International Region_DITO_Philippines
711,International access point(HongKong China),International Region,DITO,International access point(HongKong China)_International Region_DITO
712,International access point(Singapore),International Region,DITO,International access point(Singapore)_International Region_DITO
7111,International access point(HongKong China),International access point(HongKong China),International Region,International access point(HongKong China)_International access point(HongKong China)_International Region
7121,International access point(Singapore),International access point(Singapore),International Region,International access point(Singapore)_International access point(Singapore)_International Region
71111,International access point(HongKong China),International access point(HongKong China),International access point(HongKong China),International access point(HongKong China)_International access point(HongKong China)_International access point(HongKong China)
71211,International access point(Singapore),International access point(Singapore),International access point(Singapore),International access point(Singapore)_International access point(Singapore)_International access point(Singapore)
98021,Mabuhay,CITY OF TANDAG (Capital),SURIGAO DEL SUR,Mabuhay_CITY OF TANDAG (Capital)_SURIGAO DEL SUR
98022,Maitum,CITY OF TANDAG (Capital),SURIGAO DEL SUR,Maitum_CITY OF TANDAG (Capital)_SURIGAO DEL SUR
98023,Pias Sur,CURRIMAO,ILOCOS NORTE,Pias Sur_CURRIMAO_ILOCOS NORTE
98024,Poblacion I,CURRIMAO,ILOCOS NORTE,Poblacion I_CURRIMAO_ILOCOS NORTE
98025,Tarusan,HINATUAN,SURIGAO DEL SUR,Tarusan_HINATUAN_SURIGAO DEL SUR
98026,Tidman,HINATUAN,SURIGAO DEL SUR,Tidman_HINATUAN_SURIGAO DEL SUR
98027,Menchaca,CALATRAVA,NEGROS OCCIDENTAL,Menchaca_CALATRAVA_NEGROS OCCIDENTAL
98028,Minapasuk,CALATRAVA,NEGROS OCCIDENTAL,Minapasuk_CALATRAVA_NEGROS OCCIDENTAL
